q,h1_sensor,h1_serial,h2_sensor,h2_serial,h1_switch,h2_switch
34.0,7.939811889478705,7.21,23.699037760844476,24.87,True,True
34.0,6.969628694775374,7.51,24.69896617054738,23.8,True,True
34.0,7.597317492454162,7.68,24.853956192856966,24.69,True,True
34.0,7.380054620942689,7.27,24.697781003537127,24.86,True,True
34.0,7.1084024897918665,7.47,24.239804847682407,24.73,True,True
34.0,7.153053779836052,7.2,25.20149936952228,24.28,True,True
34.0,7.8246354156854565,7.31,24.651607432944026,25.16,True,True
34.0,6.913405480057543,7.34,25.430517246797187,24.7,True,True
34.0,7.718104210045641,7.57,25.053440260325324,25.41,True,True
34.0,7.295420924682597,7.2,24.278366601261535,25.07,True,True
34.0,7.890449963441215,7.4,23.758586472481404,24.35,True,True
34.0,7.5524028026024155,7.45,25.246614889178403,23.82,True,True
34.0,7.554222470265085,7.96,24.402974108149927,25.22,True,True
34.0,6.539901766575384,7.4,24.259233802455306,24.47,True,True
34.0,7.391066491826169,7.12,24.632212389759854,24.29,True,True
34.0,7.821841811808619,7.0,23.914562735755574,24.61,True,True
34.0,7.189352104821315,7.44,25.509913089904924,23.98,True,True
34.0,7.43846883829371,7.8,25.281754866311253,25.46,True,True
34.0,7.421255059777749,7.27,25.670071030097755,25.29,True,True
34.0,8.697618921743501,7.49,25.33868793529889,25.66,True,True
34.0,7.643905488976519,7.86,26.198333554907883,25.38,True,True
34.0,7.70177486147359,8.33,24.67507409652134,26.19,True,True
34.0,7.113195707569184,7.4,25.18074884323771,24.77,True,True
34.0,8.074240646744588,7.53,24.561520315847055,25.18,True,True
34.0,6.998173836178334,7.4,25.630404980609026,24.61,True,True
34.0,7.728387942313388,7.78,25.488381104754755,25.61,True,True
34.0,7.221822279299938,7.29,25.47712466050721,25.49,True,True
34.0,7.174326352004245,7.51,25.658191450097046,25.49,True,True
34.0,8.284734957705876,7.25,25.655261137612,25.64,True,True
34.0,7.98552682515612,7.62,24.350152110986354,25.66,True,True
34.0,7.192122577478805,7.89,25.00653150689013,24.47,True,True
34.0,7.938334183474283,7.74,25.503406961339525,25.01,True,True
34.0,7.241458040369948,7.58,25.747119354861344,25.49,True,True
34.0,7.65691183707866,7.67,24.886914199643847,25.75,True,True
34.0,8.25102097331585,7.27,25.471429113387284,24.94,True,True
34.0,7.317032228116401,7.96,25.31262415768573,25.48,True,True
34.0,8.328402893169605,7.8,25.520210699574992,25.36,True,True
34.0,6.926703875499768,7.75,25.193602159431965,25.53,True,True
34.0,6.184784638379566,7.66,26.245412908200127,25.24,True,True
34.0,7.469094024557796,6.86,24.742894183419015,26.15,True,True
34.0,6.606517712004553,6.54,24.58824721573363,24.78,True,True
34.0,7.15195253724818,7.1,25.05274318771442,24.61,True,True
34.0,7.7562063634573954,6.96,25.010519474392197,25.02,True,True
34.0,7.251256658129617,7.4,25.204283757274965,25.03,True,True
34.0,7.144226183349629,7.56,24.798843667977106,25.22,True,True
34.0,6.353695763867311,7.16,26.567514022109638,24.83,True,True
34.0,7.8315409348701515,7.16,24.773316714430912,26.44,True,True
34.0,7.0310980521381525,6.72,24.97588934315932,24.83,True,True
34.0,7.50397277390109,7.52,24.92984155496126,24.99,True,True
34.0,8.497668041812117,7.24,26.030629655799235,24.94,True,True
34.0,7.340309996176414,8.06,24.543075177746775,26.0,True,True
34.0,7.541104863436915,7.72,25.4429007108077,24.66,True,True
34.0,6.706823135024447,7.57,25.25730098090275,25.42,True,True
34.0,7.502890639249311,7.18,24.36536754825123,25.27,True,True
34.0,7.303972844205281,6.92,25.12846053549899,24.41,True,True
34.0,7.947606938586947,7.54,25.332007531200645,25.12,True,True
34.0,6.905416154597759,7.59,24.538510494204925,25.34,True,True
34.0,7.417948978363506,7.37,24.55267127700689,24.6,True,True
34.0,7.269460518049009,7.14,24.709139823687718,24.56,True,True
34.0,8.134312827549415,7.38,26.56175108752459,24.73,True,True
34.0,7.434805135404801,7.92,25.878717129970966,26.47,True,True
34.0,7.4111475927084225,7.7,24.96050028269244,25.93,True,True
34.0,7.9090009885797565,7.27,25.18306316057239,25.01,True,True
34.0,7.754461831809103,7.64,25.6078380186401,25.2,True,True
34.0,6.369458118820594,7.88,25.603671363387118,25.62,True,True
34.0,7.126967159177304,7.19,25.817525068351177,25.6,True,True
34.0,7.622223578855203,6.79,25.5398424200841,25.76,True,True
34.0,6.5436036445897585,7.3,26.447318235844477,25.55,True,True
34.0,7.369865465386375,7.34,25.902785105617017,26.38,True,True
34.0,7.728443785647225,6.85,25.820611514761975,25.88,True,True
34.0,7.191148078489665,7.5,26.563988475274922,25.82,True,True
34.0,7.895547014248352,7.62,25.150501516669173,26.51,True,True
34.0,7.295853341736988,7.25,24.52868281497763,25.22,True,True
34.0,7.586872666080966,7.52,25.67047584913561,24.59,True,True
34.0,8.042706409612856,7.6,25.017477148768958,25.63,True,True
34.0,6.591175057339069,7.64,25.10373052963745,25.08,True,True
34.0,7.851901180134389,7.44,25.3552795558191,25.12,True,True
34.0,7.161543953625837,7.19,25.13371220055078,25.33,True,True
34.0,7.042678249013687,7.51,27.075011735315485,25.17,True,True
34.0,7.630986084595775,7.46,25.61364343983057,26.93,True,True
34.0,6.736759755466501,7.07,25.887267146098697,25.66,True,True
34.0,7.799310965893748,7.32,25.0023325485385,25.87,True,True
34.0,7.375161194790222,7.06,25.671561850786812,25.04,True,True
34.0,8.229730205257493,7.71,25.55987243555276,25.66,True,True
34.0,6.605610268483694,7.69,25.334145212537706,25.58,True,True
34.0,7.742429984188632,7.5,25.805523231669902,25.37,True,True
34.0,7.976782633405498,7.19,26.52234744958164,25.76,True,True
34.0,7.119927960483102,7.92,26.11608821417331,26.49,True,True
34.0,7.491151337593944,7.54,25.374901170645305,26.13,True,True
34.0,7.7024651700888604,7.17,25.695875728529394,25.4,True,True
34.0,7.815757944637088,7.62,26.58354195054353,25.69,True,True
