sp,h1_switch,h2_switch,h1_sensor,h2_sensor,q,h1_serial,h2_serial
18.8644,True,True,7.686936322021542,14.955193728189476,31.77,7.1,15.86
18.8644,True,True,5.367657884601466,15.022873989619356,30.12,7.1,15.11
18.8644,True,True,5.86424885938205,14.20052041265714,31.28,6.66,15.09
18.8644,True,True,6.084810383780486,15.43034961167031,31.38,5.5,14.3
18.8644,True,True,7.411001609702868,15.567780074378902,32.62,6.22,15.44
18.8644,True,True,6.202758999741331,15.12593535039761,30.98,6.62,15.67
18.8644,True,True,7.459720516981845,15.328707639607474,30.68,6.74,15.23
18.8644,True,True,6.651553596975554,15.175229686205654,31.38,6.71,15.4
18.8644,True,True,7.414943329595287,16.303455676297823,31.19,7.01,15.28
18.8644,True,True,5.97072268007381,15.212892359823659,31.42,7.1,16.35
18.8644,True,True,6.333108800467913,15.565380309855586,29.86,6.53,15.35
18.8644,True,True,6.052146434873194,15.17006789521201,31.4,6.18,15.6
18.8644,True,True,6.50019587164918,16.150002154033842,31.09,6.14,15.26
18.8644,True,True,5.968050303367659,15.4110220797825,31.64,6.41,16.17
18.8644,True,True,6.542828642509782,16.153812901703542,30.32,6.12,15.52
18.8644,True,True,6.684740667948901,14.77236803539014,31.34,6.33,16.17
18.8644,True,True,4.983747645998449,15.721710550010675,30.41,6.31,14.92
18.8644,True,True,6.408149867887375,15.645941224594438,32.34,6.16,15.72
18.8644,True,True,6.1745844085546056,16.365336890002794,31.19,5.64,15.72
18.8644,True,True,4.850471361528809,16.246765616774926,31.25,6.42,16.4
18.8644,True,True,6.648623247900837,16.620536723296766,30.26,5.63,16.3
18.8644,True,True,5.949672985862215,16.477159511542464,30.45,5.7,16.64
18.8644,True,True,5.965104433293664,16.427179273169884,29.97,6.28,16.54
18.8644,True,True,6.010502784646725,16.15093246507047,30.15,5.93,16.47
18.8644,True,True,6.651056866460174,16.599758038368506,30.3,5.92,16.21
18.8644,True,True,6.309746749075856,17.62568767157646,30.73,6.33,16.63
18.8644,True,True,6.725122041643274,16.790381377097344,30.13,6.62,17.65
18.8644,True,True,5.776884537714645,16.767513147702505,28.62,6.24,16.89
18.8644,True,True,5.838568824570747,17.01751402377752,29.79,6.25,16.8
18.8644,True,True,5.594668180775012,15.939812202824104,29.95,5.84,17.04
18.8644,True,True,6.055205548651127,16.369493466510416,29.63,5.55,16.02
18.8644,True,True,6.07231101782146,16.23645973982688,31.19,5.89,16.38
18.8644,True,True,5.913270260571314,16.53795225931007,30.7,6.04,16.3
18.8644,True,True,6.256285617106402,17.012102181396475,30.85,6.06,16.57
18.8644,True,True,5.089936178506888,16.638183539958728,30.48,6.13,17.05
18.8644,True,True,5.461205324287908,17.197480627541136,29.8,5.7,16.69
18.8644,True,True,5.983615227699921,16.710485586751922,30.36,5.4,17.19
18.8644,True,True,6.282685951267752,17.27269027460518,29.65,5.6,16.77
18.8644,True,True,6.500591891937625,16.660071394040507,30.3,6.18,17.29
18.8644,True,True,5.7790445180805206,16.990750530293617,29.55,6.21,16.74
18.8644,True,True,5.897752448985145,16.5929072445921,30.39,6.22,17.01
18.8644,True,True,5.867040964990844,17.410477603992057,30.02,5.76,16.65
18.8644,True,True,6.202676217736239,18.083959997169845,30.6,6.03,17.41
18.8644,True,True,6.505098941714489,17.430244282218602,29.48,6.09,18.11
18.8644,True,True,7.186356447499914,17.059602099559694,28.45,6.12,17.51
18.8644,True,True,6.625667505011564,17.084695206544826,29.37,6.61,17.12
18.8644,True,True,5.707595416398937,17.913385206321216,29.97,6.85,17.15
18.8644,True,True,5.478928159145537,17.74332785913991,29.96,6.33,17.93
18.8644,True,True,5.737923966231095,17.39317129178063,28.81,5.57,17.78
18.8644,True,True,5.167029424518831,17.90865756514844,29.04,5.51,17.42
18.8644,True,True,5.964217632963492,16.89943019085901,29.6,5.59,17.9
18.8644,True,True,5.766953541414529,16.50035564127711,28.9,5.33,16.96
18.8644,True,True,6.490105105036747,18.502483104679047,30.33,5.8,16.53
18.8644,True,True,5.530996661490847,17.55001189108162,31.0,6.41,18.46
18.8644,True,True,6.464128280841478,17.3851630139366,28.13,5.85,17.65
18.8644,True,True,5.6045720694876335,17.764892374926774,29.36,5.85,17.41
18.8644,True,True,6.427929988004021,17.285758467657082,29.75,6.12,17.78
18.8644,True,True,6.276406087124873,17.85360410057007,29.2,5.83,17.34
18.8644,True,True,5.425453845415452,17.500839091091134,29.88,6.4,17.87
18.8644,True,True,6.387338439481016,17.949155319337464,29.11,5.82,17.55
18.8644,True,True,6.678196346658897,18.253699365831018,29.6,5.88,17.95
18.8644,True,True,5.71934720248916,17.76049693607775,29.02,6.47,18.3
18.8644,True,True,5.373845918130526,18.514943196334755,28.51,6.1,17.82
18.8644,True,True,5.446581469977927,18.599080505555968,29.24,5.69,18.49
18.8644,True,True,5.624555314185701,17.888543245950927,28.24,5.4,18.61
18.8644,True,True,6.0834464450420835,17.81023460900694,28.07,5.36,17.92
18.8644,True,True,6.214118749692958,17.5978877723209,29.11,5.76,17.82
18.8644,True,True,5.863778474862993,17.68831675081291,29.28,6.04,17.64
18.8644,True,True,5.162321484567879,17.759578005685896,29.57,6.04,17.72
18.8644,True,True,5.881436882145401,18.720834195488198,29.47,5.58,17.78
18.8644,True,True,5.857058813099084,18.112727152259776,29.4,5.64,18.7
18.8644,True,True,4.252452778583322,18.22957344242357,28.03,5.7,18.17
18.8644,True,True,5.669197528514409,18.17104225933162,28.82,5.21,18.21
18.8644,True,True,5.07937004574123,18.53550371884528,28.77,4.89,18.16
18.8644,True,True,5.875525514849916,18.027798544748684,28.86,5.48,18.53
18.8644,True,True,5.157930853068554,18.17609395801686,28.32,5.31,18.06
18.8644,True,True,5.5217122713313,18.73815985276567,29.03,5.58,18.17
18.8644,True,True,5.52973493444112,18.605562719143943,28.86,5.41,18.72
18.8644,True,True,5.862976092770301,18.875824574076816,28.05,5.47,18.63
18.8644,True,True,5.9409962844454585,18.2199887548212,28.2,5.66,18.87
18.8644,True,True,5.29896335921225,17.855847578917167,27.82,5.7,18.27
18.8644,True,True,4.709655545452375,18.083554474541806,28.74,5.57,17.87
18.8644,True,True,5.399983182698827,17.87034129541666,29.35,5.13,18.06
18.8644,True,True,5.546423462694937,17.468621611872887,29.07,5.02,17.88
18.8644,True,True,5.77045752272374,18.499875183884754,29.37,5.4,17.49
18.8644,True,True,5.631206266457814,18.523111462588304,29.96,5.82,18.47
18.8644,True,True,5.253585503219671,17.929345324911306,28.5,5.68,18.56
18.8644,True,True,5.943066099925854,18.29986985621197,28.38,5.35,17.96
18.8644,True,True,6.081987484332935,18.120475657746418,29.29,5.59,18.29
18.8644,True,True,6.224305317899423,18.268979427479184,28.81,5.91,18.16
18.8644,True,True,6.302158417437683,18.244778858174865,29.0,6.1,18.29
18.8644,True,True,5.623391927342102,17.601856068821682,28.81,6.17,18.29
18.8644,True,True,6.411019821550854,18.489116031134042,28.84,5.85,17.65
18.8644,True,True,4.968756629201707,18.526931267146676,29.8,6.07,18.47
18.8644,True,True,5.4425281346289145,18.973340869687476,28.58,5.77,18.56
18.8644,True,True,5.068149743242401,17.984126673893762,28.46,5.25,18.95
18.8644,True,True,4.829051000355658,18.03789689334046,27.87,5.1,18.02
